WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-5yk465xj5,ctorres2,wsb-fnq7j7gpl,10.151.69.57,EC2AMAZ-L73QOHR,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-x9tny1n0v,tzingale,wsb-fnq7j7gpl,10.151.79.142,EC2AMAZ-GO9RSR3,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-xcw4t9x3k,mramirez21,wsb-1ytmbgt44,10.151.76.204,VDICHWY-54R59DU,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-7466ymm10,awillia103,wsb-1ytmbgt44,10.151.71.46,VDICHWY-T6RJIEI,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-7cydppntq,cdetert,wsb-fnq7j7gpl,10.151.76.187,EC2AMAZ-HECR6SD,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-chxllpbf9,bmesecke,wsb-1ytmbgt44,10.151.69.241,VDICHWY-08LRC2S,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fwbn2dt2y,dluellen,wsb-fnq7j7gpl,10.151.76.77,EC2AMAZ-5947SPD,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-j0d38zsyc,arenton,wsb-1ytmbgt44,10.151.77.114,VDICHWY-8O17INS,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-89lj0ggvf,adekeyzer,wsb-1ytmbgt44,10.151.75.194,VDICHWY-AGVOTRU,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-f0jh4zm6m,aroberts17,wsb-1ytmbgt44,10.151.66.42,VDICHWY-6GND5C7,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-84hchdf0v,csmyers,wsb-1ytmbgt44,10.151.74.89,VDICHWY-8B0KLII,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-2h37mm935,sharjo,wsb-1ytmbgt44,10.151.71.82,VDICHWY-SH2EERS,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-d7xjktt2w,aoconnell2,wsb-1ytmbgt44,10.151.67.131,VDICHWY-QJ2ISKD,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-01cbh462f,mettenne,wsb-1ytmbgt44,10.151.64.125,VDICHWY-EKFGL81,STOPPED,AUTO_STOP,us-west-2,No login registered, 
